id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
11181,Male,Urban,Bachelor,2L-5L,1,3,4972,1,B,Silver,36564
42467,Male,Rural,Bachelor,More than 10L,1,6,2381,1,B,Platinum,35496
72029,Female,Rural,Bachelor,More than 10L,0,2,0,More than 1,A,Platinum,71820
85182,Male,Urban,High School,5L-10L,1,4,9025,More than 1,A,Gold,103200
12234,Male,Urban,Bachelor,5L-10L,1,4,7796,1,A,Platinum,47040
55243,Female,Urban,Bachelor,5L-10L,1,1,8691,More than 1,A,Platinum,59544
74458,Female,Urban,High School,5L-10L,0,5,4966,1,A,Gold,33720
11135,Female,Urban,High School,5L-10L,1,4,6576,1,A,Platinum,35004
5749,Male,Rural,Bachelor,More than 10L,1,0,0,1,C,Gold,35652
29097,Male,Urban,High School,More than 10L,1,6,4993,More than 1,A,Gold,121200
51084,Male,Urban,Bachelor,5L-10L,1,7,2535,More than 1,B,Silver,63528
10835,Female,Urban,High School,5L-10L,1,0,0,1,C,Silver,28548
71660,Female,Urban,Bachelor,2L-5L,0,6,2592,1,B,Silver,34104
53538,Male,Rural,Others,5L-10L,1,4,0,1,B,Gold,33684
55811,Male,Rural,Bachelor,More than 10L,1,0,3612,More than 1,A,Silver,97272
16484,Female,Urban,High School,5L-10L,1,6,5035,More than 1,A,Gold,409800
32200,Female,Rural,Bachelor,5L-10L,1,7,0,More than 1,A,Gold,61464
73791,Male,Rural,Bachelor,2L-5L,1,6,0,1,A,Platinum,36012
27638,Male,Urban,Bachelor,5L-10L,0,7,4415,More than 1,B,Platinum,96372
60174,Female,Rural,High School,More than 10L,1,7,3557,1,B,Platinum,50064
52930,Male,Urban,High School,5L-10L,1,7,3600,More than 1,B,Silver,61812
50558,Male,Rural,Others,5L-10L,0,7,0,1,A,Gold,31908
616,Male,Urban,Bachelor,5L-10L,0,3,8292,More than 1,A,Silver,633696
1772,Male,Urban,Bachelor,More than 10L,0,5,5024,More than 1,A,Platinum,65940
78769,Female,Rural,Others,5L-10L,1,6,0,1,A,Silver,42768
9623,Female,Urban,Bachelor,2L-5L,0,6,0,1,A,Platinum,35220
87410,Female,Urban,High School,5L-10L,1,6,2060,More than 1,B,Platinum,251292
6525,Male,Urban,Bachelor,2L-5L,1,7,4275,More than 1,B,Platinum,100560
47040,Male,Urban,Bachelor,2L-5L,1,3,4976,More than 1,A,Platinum,118320
88194,Male,Rural,Bachelor,5L-10L,1,7,3892,More than 1,A,Gold,97656
49755,Male,Rural,High School,5L-10L,1,6,0,More than 1,B,Platinum,62100
84148,Female,Rural,Bachelor,5L-10L,1,8,3371,1,B,Silver,53520
18472,Female,Urban,Bachelor,2L-5L,1,4,5672,More than 1,A,Gold,57792
23269,Female,Urban,Bachelor,2L-5L,1,1,9003,More than 1,A,Platinum,106032
16709,Male,Rural,Bachelor,5L-10L,1,5,0,More than 1,B,Silver,74904
11395,Female,Rural,High School,5L-10L,1,2,0,1,C,Gold,66756
78417,Female,Rural,High School,5L-10L,1,6,3919,1,B,Silver,68028
57483,Male,Rural,High School,More than 10L,1,0,0,More than 1,A,Platinum,69420
47242,Female,Urban,Bachelor,2L-5L,0,7,5040,More than 1,B,Silver,545676
62073,Female,Rural,Bachelor,5L-10L,0,3,2527,More than 1,A,Platinum,102480
56383,Male,Urban,Others,5L-10L,1,0,0,1,A,Platinum,31404
3776,Male,Urban,High School,2L-5L,0,8,4742,More than 1,A,Platinum,99756
38730,Female,Urban,Bachelor,More than 10L,0,6,3835,More than 1,A,Platinum,110604
31388,Female,Rural,High School,More than 10L,1,0,0,More than 1,B,Platinum,66288
74507,Male,Urban,Bachelor,5L-10L,1,2,5258,1,A,Platinum,35964
35508,Male,Urban,High School,5L-10L,1,1,6558,1,A,Platinum,45396
70079,Male,Urban,High School,2L-5L,1,3,4054,1,A,Platinum,30024
25409,Female,Urban,Bachelor,5L-10L,0,1,0,1,A,Platinum,31536
19272,Male,Urban,High School,5L-10L,0,8,2233,More than 1,A,Platinum,106548
86237,Male,Urban,High School,5L-10L,1,0,6342,1,A,Platinum,54012
79753,Male,Urban,High School,More than 10L,0,2,6564,1,A,Gold,37500
2585,Female,Rural,High School,5L-10L,0,0,0,1,A,Platinum,40092
74553,Male,Rural,High School,2L-5L,1,8,5002,1,A,Platinum,52920
78376,Male,Urban,Bachelor,2L-5L,1,3,8024,More than 1,B,Platinum,112176
86207,Male,Urban,High School,5L-10L,1,0,0,1,C,Silver,33996
7358,Male,Urban,High School,5L-10L,1,6,5382,1,A,Silver,36372
3530,Male,Rural,High School,5L-10L,1,5,0,1,A,Silver,45144
37872,Male,Urban,High School,5L-10L,0,3,3866,1,C,Gold,57168
61701,Male,Urban,High School,5L-10L,0,5,0,1,B,Platinum,28764
8300,Female,Urban,High School,5L-10L,1,4,4252,More than 1,A,Platinum,33660
694,Female,Urban,High School,5L-10L,0,8,4303,More than 1,A,Silver,71820
