id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
63175,Male,Urban,Bachelor,5L-10L,0,5,6650,1,C,Gold,53928
21575,Female,Urban,High School,More than 10L,0,8,2601,More than 1,A,Platinum,98340
84486,Male,Urban,High School,2L-5L,1,4,5234,1,B,Silver,39192
51189,Male,Rural,Bachelor,5L-10L,1,7,0,More than 1,B,Silver,67848
79884,Female,Rural,High School,5L-10L,1,7,0,1,A,Platinum,32460
77177,Female,Urban,Bachelor,5L-10L,1,6,6033,1,A,Platinum,64896
20224,Female,Rural,Bachelor,2L-5L,1,5,5561,1,A,Platinum,30420
79907,Male,Rural,High School,More than 10L,0,7,0,1,B,Platinum,29352
2478,Male,Urban,Bachelor,5L-10L,0,6,3669,1,B,Silver,34488
75065,Female,Rural,Bachelor,More than 10L,1,8,0,1,B,Platinum,34104
13509,Female,Rural,High School,5L-10L,1,8,2276,1,B,Platinum,70368
82043,Male,Urban,Bachelor,2L-5L,1,7,4123,1,A,Platinum,30900
44617,Male,Urban,High School,2L-5L,1,2,5829,1,A,Platinum,30864
41124,Male,Rural,High School,5L-10L,1,0,2661,1,A,Platinum,32244
24682,Male,Urban,High School,5L-10L,0,1,7160,1,B,Silver,53196
5521,Male,Urban,Bachelor,5L-10L,1,7,4113,1,A,Silver,58068
79618,Male,Urban,Bachelor,2L-5L,0,0,2076,1,B,Silver,57180
30698,Male,Urban,High School,5L-10L,0,8,5781,1,A,Gold,63048
57056,Female,Rural,Others,5L-10L,0,1,5022,1,A,Platinum,67932
38452,Male,Urban,Others,5L-10L,0,4,5856,1,A,Platinum,33540
30852,Male,Rural,Bachelor,5L-10L,0,4,5568,More than 1,A,Gold,88200
40656,Male,Urban,Bachelor,5L-10L,1,1,3043,1,C,Gold,51912
18667,Male,Urban,High School,5L-10L,0,5,3536,1,C,Gold,34512
27627,Male,Rural,High School,5L-10L,0,6,0,1,B,Platinum,60060
63847,Female,Urban,High School,5L-10L,0,8,5349,1,A,Silver,35748
34520,Female,Urban,High School,More than 10L,0,2,3910,1,A,Platinum,34092
43654,Female,Rural,Bachelor,5L-10L,1,5,0,1,B,Silver,60816
85326,Female,Rural,High School,5L-10L,1,7,0,More than 1,A,Platinum,68904
58435,Male,Rural,Bachelor,More than 10L,1,6,0,1,B,Platinum,31068
88690,Male,Urban,Bachelor,5L-10L,1,5,6244,1,A,Gold,39000
22220,Female,Urban,Bachelor,5L-10L,1,2,5394,1,B,Silver,35784
40504,Male,Rural,Bachelor,5L-10L,0,3,0,1,B,Silver,52692
28300,Female,Urban,High School,5L-10L,0,4,6081,1,A,Gold,45456
68672,Female,Rural,High School,5L-10L,0,7,0,1,B,Platinum,29940
39907,Male,Urban,High School,<=2L,1,2,4484,1,A,Platinum,60660
1021,Male,Urban,High School,5L-10L,1,3,3654,1,A,Gold,60840
87587,Male,Urban,Bachelor,More than 10L,1,3,4501,1,A,Platinum,31044
82017,Male,Urban,Bachelor,More than 10L,1,6,5535,1,A,Gold,33756
12059,Female,Rural,Bachelor,5L-10L,1,3,0,1,A,Platinum,36204
9458,Female,Urban,High School,5L-10L,0,8,3848,1,B,Platinum,66180
4637,Female,Urban,Bachelor,2L-5L,1,7,4099,1,C,Gold,36744
87683,Male,Rural,Bachelor,More than 10L,1,1,3087,More than 1,A,Gold,96348
17323,Male,Rural,Bachelor,2L-5L,1,6,0,1,B,Gold,67644
16564,Female,Urban,High School,2L-5L,1,4,5167,1,A,Platinum,32196
12159,Male,Urban,Bachelor,5L-10L,0,8,6154,1,A,Platinum,33168
38729,Female,Urban,High School,5L-10L,1,5,0,1,C,Platinum,36396
7421,Male,Rural,High School,5L-10L,1,0,3604,1,A,Gold,36456
6013,Female,Urban,Bachelor,<=2L,0,3,5743,1,A,Platinum,30792
16816,Male,Urban,High School,5L-10L,0,7,3480,More than 1,A,Platinum,103452
59528,Male,Urban,High School,More than 10L,1,4,2100,1,A,Gold,34524
31296,Male,Urban,Bachelor,5L-10L,0,3,4939,1,A,Silver,32364
66072,Male,Rural,High School,5L-10L,0,7,4981,1,A,Platinum,63960
14891,Male,Urban,Bachelor,5L-10L,1,2,5916,1,A,Platinum,36360
23342,Female,Urban,Bachelor,More than 10L,0,6,9603,1,B,Gold,31788
29483,Male,Urban,Bachelor,5L-10L,1,3,3795,1,B,Platinum,50988
64068,Female,Urban,High School,2L-5L,1,2,6275,1,C,Gold,34620
67950,Male,Urban,High School,5L-10L,1,8,3862,More than 1,A,Platinum,99396
86507,Male,Urban,Bachelor,5L-10L,1,8,6333,1,B,Platinum,58704
58327,Male,Urban,Bachelor,5L-10L,1,6,3891,1,A,Platinum,31140
45,Female,Urban,High School,2L-5L,0,3,5443,1,A,Platinum,52464
49314,Female,Urban,High School,More than 10L,1,3,4885,1,A,Platinum,55848
46690,Male,Urban,High School,5L-10L,1,6,6796,1,A,Platinum,38004
32247,Male,Urban,High School,2L-5L,0,6,3628,1,B,Silver,37236
78796,Male,Urban,High School,2L-5L,0,3,7002,1,A,Platinum,28812
50738,Female,Urban,Bachelor,5L-10L,1,3,2313,1,A,Gold,50880
2326,Male,Urban,Bachelor,5L-10L,0,5,5080,1,A,Platinum,30780
60313,Male,Urban,High School,5L-10L,1,3,3119,1,A,Platinum,63720
15285,Male,Urban,High School,5L-10L,1,6,9577,1,A,Gold,46956
32380,Male,Urban,Bachelor,<=2L,1,0,3459,1,A,Platinum,34392
20063,Male,Urban,High School,More than 10L,1,2,6080,More than 1,A,Gold,102156
22982,Female,Rural,High School,More than 10L,1,6,0,1,B,Platinum,33984
80960,Female,Urban,High School,5L-10L,0,5,16095,1,A,Platinum,35148
20900,Male,Rural,High School,2L-5L,1,7,2486,1,B,Silver,32628
66581,Female,Urban,High School,5L-10L,1,8,2192,1,A,Platinum,32688
36837,Male,Urban,Bachelor,5L-10L,0,8,2559,1,A,Gold,34392
23090,Female,Urban,High School,5L-10L,0,2,3638,1,C,Gold,37404
35391,Male,Rural,Bachelor,More than 10L,1,7,0,1,C,Silver,60768
37215,Male,Urban,Bachelor,2L-5L,1,6,2130,More than 1,B,Silver,62988
4711,Female,Urban,High School,5L-10L,0,5,7291,More than 1,A,Platinum,105588
9480,Male,Urban,High School,2L-5L,1,6,4083,1,A,Gold,49536
24318,Female,Urban,High School,5L-10L,0,4,5336,1,C,Platinum,34884
55787,Female,Rural,High School,5L-10L,0,4,5867,1,A,Platinum,69576
749,Male,Urban,Bachelor,2L-5L,1,7,6398,1,A,Platinum,64092
67334,Male,Rural,Bachelor,5L-10L,1,7,0,1,B,Platinum,55404
16506,Female,Urban,High School,5L-10L,1,3,4682,1,A,Platinum,34764
6590,Male,Urban,Bachelor,2L-5L,0,7,4061,1,B,Silver,72924
26511,Male,Urban,High School,2L-5L,0,7,17967,More than 1,B,Silver,107268
59091,Male,Rural,Bachelor,5L-10L,1,6,0,1,B,Silver,50712
47411,Female,Rural,Bachelor,5L-10L,0,2,0,1,A,Platinum,43404
65832,Male,Rural,Bachelor,More than 10L,0,6,0,1,A,Silver,29808
52307,Male,Rural,Bachelor,More than 10L,1,6,0,1,B,Platinum,45600
33015,Male,Urban,Bachelor,5L-10L,1,7,7395,1,B,Silver,33624
44404,Female,Urban,High School,2L-5L,1,4,5498,1,C,Platinum,33048
2824,Female,Rural,Bachelor,5L-10L,1,6,3144,1,A,Silver,52644
82729,Male,Rural,High School,5L-10L,0,5,2469,More than 1,B,Platinum,91992
24385,Male,Rural,Bachelor,5L-10L,1,4,0,1,B,Gold,49920
65308,Male,Urban,High School,5L-10L,0,7,5507,1,B,Platinum,60804
38950,Male,Rural,High School,More than 10L,1,6,6443,1,A,Silver,45888
62413,Male,Urban,Bachelor,5L-10L,1,8,3254,1,A,Platinum,54276
78188,Male,Urban,Bachelor,5L-10L,1,6,2707,1,A,Silver,35616
59804,Male,Urban,Bachelor,5L-10L,1,5,8687,1,A,Platinum,61896
15772,Male,Urban,High School,2L-5L,1,2,5394,1,A,Platinum,37884
41521,Male,Urban,High School,More than 10L,1,1,5481,1,A,Platinum,35316
80211,Female,Urban,High School,5L-10L,1,7,5467,More than 1,A,Silver,99828
22922,Male,Urban,High School,5L-10L,1,5,4326,1,A,Silver,29184
3981,Male,Urban,High School,More than 10L,0,0,2090,1,B,Silver,36252
20718,Female,Rural,High School,5L-10L,1,4,0,1,B,Platinum,31308
